5人物理考卷,,,,,,,,,,,,
物理科 選擇題選項分析,,,,,,,,,,,,
到考人數：5,,,,,,,,,,,,

題號,組別,未答,A,B,C,D,E,F,G,H,I,J
 1,T,0,,,*100,,,,,,,
,H,0,,,*100,,,,,,,
,L,0,,,*100,,,,,,,
 2,T,0,,,*100,,,,,,,
,H,0,,,*100,,,,,,,
,L,0,,,*100,,,,,,,
 3,T,0,,,,*100,,,,,,
,H,0,,,,*100,,,,,,
,L,0,,,,*100,,,,,,
 4,T,0,,,*100,,,,,,,
,H,0,,,*100,,,,,,,
,L,0,,,*100,,,,,,,
 5,T,0,,*100,,,,,,,,
,H,0,,*100,,,,,,,,
,L,0,,*100,,,,,,,,
 6,T,0,,*80,20,,,,,,,
,H,0,,*100,,,,,,,,
,L,0,,*50,50,,,,,,,
 7,T,0,,,,,*100,,,,,
,H,0,,,,,*100,,,,,
,L,0,,,,,*100,,,,,
 8,T,0,*80,,20,,,,,,,
,H,0,*100,,,,,,,,,
,L,0,*50,,50,,,,,,,
 9,T,0,,*80,,20,,,,,,
,H,0,,*100,,,,,,,,
,L,0,,*50,,50,,,,,,
 10,T,0,*100,,,,,,,,,
,H,0,*100,,,,,,,,,
,L,0,*100,,,,,,,,,
 11,T,0,20,40,,40,*0,,,,,
,H,0,,100,,,*0,,,,,
,L,0,50,,,50,*0,,,,,
 12,T,0,20,20,*40,,20,,,,,
,H,0,50,,*50,,,,,,,
,L,0,,,*50,,50,,,,,
 13,T,0,20,40,*0,,40,,,,,
,H,0,,50,*0,,50,,,,,
,L,0,,50,*0,,50,,,,,
 14,T,0,20,*40,20,20,,,,,,
,H,0,50,*50,,,,,,,,
,L,0,,*0,50,50,,,,,,
*1,T,0,*100,,*100,,*80,,,,,
,H,0,*100,,*100,,*100,,,,,
,L,0,*100,,*100,,*50,,,,,
*2,T,0,,*100,,*100,40,,,,,
,H,0,,*100,,*100,,,,,,
,L,0,,*100,,*100,50,,,,,
*3,T,0,,*100,,*80,40,,,,,
,H,0,,*100,,*50,50,,,,,
,L,0,,*100,,*100,50,,,,,
*4,T,0,*60,*80,40,40,,,,,,
,H,0,*50,*100,,50,,,,,,
,L,0,*50,*100,50,50,,,,,,
*5,T,0,60,40,*0,*80,20,,,,,
,H,0,50,50,*0,*50,50,,,,,
,L,0,50,50,*0,*100,,,,,,
*6,T,0,*100,*80,,*60,,,,,,
,H,0,*100,*50,,*100,,,,,,
,L,0,*100,*100,,*50,,,,,,
*7,T,0,40,*100,20,40,*80,,,,,
,H,0,,*100,50,50,*100,,,,,
,L,0,50,*100,,50,*50,,,,,
 1,T,0,,,,,*100,,,,,
,H,0,,,,,*100,,,,,
,L,0,,,,,*100,,,,,
 2,T,0,20,40,,*40,,,,,,
,H,0,,50,,*50,,,,,,
,L,0,50,50,,*0,,,,,,
 3,T,0,,40,,,*60,,,,,
,H,0,,50,,,*50,,,,,
,L,0,,50,,,*50,,,,,
 4,T,0,20,*80,,,,,,,,
,H,0,,*100,,,,,,,,
,L,0,50,*50,,,,,,,,
 5,T,0,,,,*100,,,,,,
,H,0,,,,*100,,,,,,
,L,0,,,,*100,,,,,,
 6,T,0,20,,*80,,,,,,,
,H,0,,,*100,,,,,,,
,L,0,50,,*50,,,,,,,
 7,T,0,,*100,,,,,,,,
,H,0,,*100,,,,,,,,
,L,0,,*100,,,,,,,,
 8,T,0,,,*100,,,,,,,
,H,0,,,*100,,,,,,,
,L,0,,,*100,,,,,,,
 9,T,0,*20,40,20,,20,,,,,
,H,0,*50,50,,,,,,,,
,L,0,*0,,50,,50,,,,,
 10,T,0,20,20,20,*40,,,,,,
,H,0,50,,,*50,,,,,,
,L,0,,,50,*50,,,,,,
 11,T,0,,40,,*60,,,,,,
,H,0,,,,*100,,,,,,
,L,0,,50,,*50,,,,,,
 12,T,0,*20,20,60,,,,,,,
,H,0,*50,,50,,,,,,,
,L,0,*0,50,50,,,,,,,

註：,,,,,,,,,,,,
1.本表依原得總分進行分組,,,,,,,,,,,,
2.題號前有「*」符號者為多選題,,,,,,,,,,,,
"""3.T,H,L 分別為全體到考考生,高分組考生(前2人),低分組考生(後2人)畫記該選項百分比""",,,,,,,,,,,,
4.各選項百分比前有「*」符號者為正確或最適當的選項,,,,,,,,,,,,
"""5.各選項百分比=畫記該選項人數÷該組(全體,高分組,低分組)到考考生人數""",,,,,,,,,,,,
"""6.未答百分比=未畫記任一選項人數÷該組(全體,高分組,低分組)到考考生人數""",,,,,,,,,,,,
"""7.因小數以四捨五入法取至個位數,各組選項百分比總計近似100%""",,,,,,,,,,,,
