5人物理考卷,,,,,,,,,,
物理科 答對率及鑑別度表,,,,,,,,,,
到考人數：5,,,,,,,,,,
題號,P,Ph,Pl,T,D,,,,,
 1,100,100,100,,0,,,,,
 2,100,100,100,,0,,,,,
 3,100,100,100,,0,,,,,
 4,100,100,100,,0,,,,,
 5,100,100,100,,0,,,,,
 6,80,100,50,,50,,,,,
 7,100,100,100,,0,,,,,
 8,80,100,50,,50,,,,,
 9,80,100,50,,50,,,,,
 10,100,100,100,,0,,,,,
 11,0,0,0,,0,,,,,
 12,40,50,50,,0,,,,,
 13,0,0,0,,0,,,,,
 14,40,50,0,,50,,,,,
*1,92,100,80,92,20,,,,,
*2,84,100,80,84,20,,,,,
*3,76,60,80,76,-20,,,,,
*4,44,50,50,44,0,,,,,
*5,16,10,20,16,-10,,,,,
*6,76,80,80,76,0,,,,,
*7,52,60,40,52,20,,,,,
 1,100,100,100,,0,,,,,
 2,40,50,0,,50,,,,,
 3,60,50,50,,0,,,,,
 4,80,100,50,,50,,,,,
 5,100,100,100,,0,,,,,
 6,80,100,50,,50,,,,,
 7,100,100,100,,0,,,,,
 8,100,100,100,,0,,,,,
 9,20,50,0,,50,,,,,
 10,40,50,50,,0,,,,,
 11,40,50,50,,0,,,,,
 12,20,50,0,,50,,,,,

註：,,,,,,,,,,
1.本表依原得總分進行分組,,,,,,,,,,
2.P=全體到考考生答對率,,,,,,,,,,
3.Ph=高分組(前2人)考生答對率,,,,,,,,,,
4.Pl=低分組(後2人)考生答對率,,,,,,,,,,
5.T=多選題得分率,,,,,,,,,,
6.D=全體到考考生鑑別度(D=Ph-Pl),,,,,,,,,,
"""7.題號前有「*」符號者為多選題,以得分率代替答對率""",,,,,,,,,,

"""(多選題)得分率=(各該題考生得分之和÷(考生人數×該題滿分))×100""",,,,,,,,,,
(該題未答者分子以零分計),,,,,,,,,,
